Date,Close,High,Low,Open,Volume
1980-12-12,0.09859665483236313,0.09902531215039401,0.09859665483236313,0.09859665483236313,469033600
1980-12-15,0.09345275163650513,0.09388140870022015,0.09345275163650513,0.09388140870022015,175884800
1980-12-16,0.08659353107213974,0.08702218247975012,0.08659353107213974,0.08702218247975012,105728000
1980-12-17,0.08873680979013443,0.08916546697069413,0.08873680979013443,0.08873680979013443,86441600
1980-12-18,0.09130951017141342,0.09173816163687441,0.09130951017141342,0.09130951017141342,73449600
1980-12-19,0.09688203781843185,0.0973106951400517,0.09688203781843185,0.09688203781843185,48630400
1980-12-22,0.10159722715616226,0.1020266513521139,0.10159722715616226,0.10159722715616226,37363200
1980-12-23,0.10588452219963074,0.10631317940348693,0.10588452219963074,0.10588452219963074,46950400
1980-12-24,0.11145712435245514,0.11188578191338316,0.11145712435245514,0.11145712435245514,48003200
1980-12-26,0.1217455342411995,0.12217419155621397,0.1217455342411995,0.1217455342411995,55574400
1980-12-29,0.12346011400222778,0.12388877118512462,0.1234601140022278,0.1234601140022278,93161600
1980-12-30,0.12045954912900925,0.12088819490939587,0.12045954912900925,0.12088819490939587,68880000
1980-12-31,0.11703026294708252,0.11745891998676493,0.11703026294708252,0.11745891998676493,35750400
1981-01-02,0.11831629276275635,0.11917360735037899,0.11831629276275635,0.11831629276275635,21660800
1981-01-05,0.11574436724185944,0.11617301307140257,0.11574436724185944,0.11617301307140257,35728000
1981-01-06,0.11059973388910294,0.11102839115802592,0.11059973388910294,0.11102839115802592,45158400
1981-01-07,0.10588452219963074,0.10631317940348693,0.10588452219963074,0.10631317940348693,55686400
1981-01-08,0.10374122858047485,0.10416987421129666,0.10374122858047485,0.10416987421129666,39827200
1981-01-09,0.10931377112865448,0.10974242838816341,0.10931377112865448,0.10931377112865448,21504000
1981-01-12,0.10845641791820526,0.10931372059386071,0.10845641791820526,0.10931372059386071,23699200
1981-01-13,0.10459853708744049,0.10502719418905825,0.10459853708744049,0.10502719418905825,23049600
1981-01-14,0.1050272136926651,0.10545587087388471,0.1050272136926651,0.1050272136926651,14291200
1981-01-15,0.10717052966356277,0.1080278329110364,0.10717052966356277,0.10717052966356277,14067200
1981-01-16,0.10631318390369415,0.10674184112569528,0.10631318390369415,0.10674184112569528,13395200
1981-01-19,0.11274296790361404,0.11317162501709659,0.11274296790361404,0.11274296790361404,41574400
1981-01-20,0.10931377112865448,0.10974242838816341,0.10931377112865448,0.10974242838816341,30083200
1981-01-21,0.11145712435245514,0.11231442802726439,0.11145712435245514,0.11145712435245514,15904000
1981-01-22,0.11274296790361404,0.11360028213057911,0.11274296790361404,0.11274296790361404,35548800
1981-01-23,0.112314373254776,0.11317168795854433,0.112314373254776,0.11274303060666016,11222400
1981-01-26,0.11059973388910294,0.11102839115802592,0.11059973388910294,0.11102839115802592,24640000
1981-01-27,0.10974239557981491,0.11059969839549665,0.10974239557981491,0.11059969839549665,23699200
1981-01-28,0.10631318390369415,0.10674184112569528,0.10631318390369415,0.10674184112569528,28156800
1981-01-29,0.1024552509188652,0.10288390796982694,0.1024552509188652,0.10288390796982694,43904000
1981-01-30,0.09688203781843185,0.09773935246167152,0.09688203781843185,0.09773935246167152,46188800
1981-02-02,0.09130951017141342,0.09173816163687441,0.09130951017141342,0.09173816163687441,23766400
1981-02-03,0.09473874419927597,0.09516739566206792,0.09473874419927597,0.09473874419927597,19152000
1981-02-04,0.0981680154800415,0.09859666137949553,0.0981680154800415,0.0981680154800415,27865600
1981-02-05,0.0981680154800415,0.09902531872599062,0.0981680154800415,0.0981680154800415,7929600
1981-02-06,0.09859665483236313,0.09902531215039401,0.09859665483236313,0.09859665483236313,13865600
1981-02-09,0.09345275163650513,0.09431006004041839,0.09345275163650513,0.09431006004041839,16755200
1981-02-10,0.09345275163650513,0.09388140870022015,0.09345275163650513,0.09345275163650513,18345600
1981-02-11,0.09045219421386719,0.09088084564471888,0.09045219421386719,0.09088084564471888,13843200
1981-02-12,0.08959411829710007,0.09002354242848763,0.08959411829710007,0.09002354242848763,14560000
1981-02-13,0.08745086193084717,0.08830817068839537,0.08745086193084717,0.08830817068839537,11155200
1981-02-17,0.08959411829710007,0.09002354242848763,0.08959411829710007,0.08959411829710007,12275200
1981-02-18,0.09345275163650513,0.09431006004041839,0.09345275163650513,0.09345275163650513,19241600
1981-02-19,0.08787950873374939,0.08830816595128863,0.08787950873374939,0.08830816595128863,22310400
1981-02-20,0.08316431194543839,0.08359296915402716,0.08316431194543839,0.08359296915402716,24371200
1981-02-23,0.08445026725530624,0.0848789244391814,0.08445026725530624,0.08445026725530624,14112000
1981-02-24,0.08144968748092651,0.08230699610009351,0.08144968748092651,0.08230699610009351,16979200
1981-02-25,0.08659353107213974,0.08702218247975012,0.08659353107213974,0.08659353107213974,19488000
1981-02-26,0.08787950873374939,0.08830816595128863,0.08787950873374939,0.08787950873374939,10841600
1981-02-27,0.09088084846735,0.09173815707919813,0.09088084846735,0.09088084846735,14761600
1981-03-02,0.09130951017141342,0.09173816163687441,0.09130951017141342,0.09130951017141342,11760000
1981-03-03,0.09002355486154556,0.09045221210068165,0.09002355486154556,0.09045221210068165,16172800
1981-03-04,0.08916549384593964,0.0895941454321803,0.08916549384593964,0.0895941454321803,13708800
1981-03-05,0.08873680979013443,0.08916546697069413,0.08873680979013443,0.08916546697069413,5376000
1981-03-06,0.08787950873374939,0.08873681744530908,0.08787950873374939,0.08873681744530908,11603200
1981-03-09,0.08102106302976608,0.08144971462041956,0.08102106302976608,0.08144971462041956,15321600
1981-03-10,0.07716238498687744,0.0775910364766614,0.07716238498687744,0.0775910364766614,28380800
1981-03-11,0.07416179031133652,0.07501909888318305,0.07416179031133652,0.07501909888318305,29859200
1981-03-12,0.07716238498687744,0.0775910364766614,0.07716238498687744,0.07716238498687744,59248000
1981-03-13,0.07630510628223419,0.07673375794053745,0.07630510628223419,0.07673375794053745,231302400
1981-03-16,0.07930643856525421,0.08016374739814171,0.07930643856525421,0.07930643856525421,37228800
1981-03-17,0.08316431194543839,0.08402162063909725,0.08316431194543839,0.08316431194543839,43747200
1981-03-18,0.08830816298723221,0.0891654716700164,0.08830816298723221,0.08830816298723221,36937600
1981-03-19,0.08745086193084717,0.08787951344786171,0.08745086193084717,0.08787951344786171,37811200
1981-03-20,0.08830816298723221,0.0891654716700164,0.08830816298723221,0.08830816298723221,14604800
1981-03-23,0.09173814952373505,0.0925954580649761,0.09173814952373505,0.09173814952373505,22019200
